yyyymm,year,rf,mktrf,smb,hml
199101,1991,0.52,4.69,3.79,-1.84
199102,1991,0.48,7.19,3.95,-0.54
199103,1991,0.44,2.65,3.89,-1.23
199104,1991,0.53,-0.28,0.5,1.42
199105,1991,0.47,3.65,-0.34,-0.57
199106,1991,0.42,-4.94,0.07,1.21
199107,1991,0.49,4.24,-0.93,-1.25
199108,1991,0.46,2.32,1.59,-0.78
199109,1991,0.46,-1.59,1.63,-1
199110,1991,0.42,1.29,0.9,-0.43
199111,1991,0.39,-4.19,-0.48,-1.93
199112,1991,0.38,10.84,-2.24,-4.03
199201,1992,0.34,-0.59,8.47,4.51
199202,1992,0.28,1.09,0.88,6.37
199203,1992,0.34,-2.66,-1.03,3.65
199204,1992,0.32,1.07,-6.12,4.31
199205,1992,0.28,0.3,0.39,1.28
199206,1992,0.32,-2.34,-3.09,3.4
199207,1992,0.31,3.77,-0.44,-0.53
199208,1992,0.26,-2.38,-0.12,-1.03
199209,1992,0.26,1.19,0.56,-0.21
199210,1992,0.23,1.02,2.05,-2.1
199211,1992,0.23,4.13,3.7,-1.48
199212,1992,0.28,1.53,1.64,2.52
199301,1993,0.23,0.93,2.03,5.87
199302,1993,0.22,0.12,-3.43,6.42
199303,1993,0.25,2.3,0.23,1.22
199304,1993,0.24,-3.05,-0.7,2.61
199305,1993,0.22,2.89,1.96,-3.41
199306,1993,0.25,0.31,-0.31,2.62
199307,1993,0.24,-0.34,0.93,3.25
199308,1993,0.25,3.71,0.31,-0.45
199309,1993,0.26,-0.12,3.11,-0.44
199310,1993,0.22,1.41,1.45,-1.54
199311,1993,0.25,-1.89,-1.42,-0.27
199312,1993,0.23,1.65,1.22,0.57
199401,1994,0.25,2.87,0.15,2.09
199402,1994,0.21,-2.55,2.73,-1.45
199403,1994,0.27,-4.78,-0.98,1.29
199404,1994,0.27,0.68,-0.92,1.68
199405,1994,0.31,0.58,-2.01,0.2
199406,1994,0.31,-3.03,-0.45,1.69
199407,1994,0.28,2.82,-1.72,0.62
199408,1994,0.37,4.01,1.34,-2.81
199409,1994,0.37,-2.31,2.83,-1.91
199410,1994,0.38,1.34,-2.35,-1.74
199411,1994,0.37,-4.04,0.26,-0.94
199412,1994,0.44,0.86,0.04,0.54
199501,1995,0.42,1.8,-2.65,0.81
199502,1995,0.4,3.63,-0.67,1.09
199503,1995,0.46,2.19,-0.69,-1.1
199504,1995,0.44,2.11,-0.63,2.27
199505,1995,0.54,2.9,-2.21,1.72
199506,1995,0.47,2.72,2.93,-2.28
199507,1995,0.45,3.72,2.09,-1.67
199508,1995,0.47,0.55,1.59,2.71
199509,1995,0.43,3.35,-2.11,-0.75
199510,1995,0.47,-1.52,-3.75,-0.74
199511,1995,0.42,3.96,-1.17,0.95
199512,1995,0.49,1.03,0.58,0.87
199601,1996,0.43,2.26,-2.62,0.3
199602,1996,0.39,1.33,1.88,-1.42
199603,1996,0.39,0.73,1.31,1.01
199604,1996,0.46,2.06,4.91,-3.91
199605,1996,0.42,2.36,3.05,-1.2
199606,1996,0.4,-1.14,-3.58,1.56
199607,1996,0.45,-5.97,-3.84,4.45
199608,1996,0.41,2.77,2.3,-0.46
199609,1996,0.44,5.01,-0.88,-3.15
199610,1996,0.42,0.86,-4.44,5.12
199611,1996,0.41,6.25,-3.89,1.16
199612,1996,0.46,-1.7,3.2,0.89
199701,1997,0.45,4.98,-1.84,-1.65
199702,1997,0.39,-0.49,-2.9,5.2
199703,1997,0.43,-5.02,-0.38,3.81
199704,1997,0.43,4.04,-5.65,-0.07
199705,1997,0.49,6.74,4.89,-3.87
199706,1997,0.37,4.1,1.33,1.23
199707,1997,0.43,7.33,-2.8,0.82
199708,1997,0.41,-4.15,7.31,1.38
199709,1997,0.44,5.35,2.61,0.01
199710,1997,0.42,-3.8,-0.68,1.95
199711,1997,0.39,2.98,-4.95,0.79
199712,1997,0.48,1.32,-2.35,3.45
199801,1998,0.43,0.15,-1.16,-1.45
199802,1998,0.39,7.04,0,-0.13
199803,1998,0.39,4.76,-0.93,1.05
199804,1998,0.43,0.73,0.2,0.74
199805,1998,0.4,-3.07,-3.74,4.16
199806,1998,0.41,3.18,-3.16,-2.33
199807,1998,0.4,-2.46,-5.12,-0.96
199808,1998,0.43,-16.08,-5.31,3.4
199809,1998,0.46,6.15,-0.14,-3.31
199810,1998,0.32,7.13,-3.29,-2.21
199811,1998,0.31,6.1,1.07,-3.15
199812,1998,0.38,6.16,-0.35,-4.46
199901,1999,0.35,3.5,0.37,-4.03
199902,1999,0.35,-4.08,-5.67,1.4
199903,1999,0.43,3.45,-3.93,-2.65
199904,1999,0.37,4.33,4,2.53
199905,1999,0.34,-2.46,3.42,2.4
199906,1999,0.4,4.77,3.05,-3.6
199907,1999,0.38,-3.49,2.67,-0.76
199908,1999,0.39,-1.38,-1.27,-1.31
199909,1999,0.39,-2.79,3.33,-3.4
199910,1999,0.39,6.12,-6.95,-2.88
199911,1999,0.36,3.37,7.37,-6.51
199912,1999,0.44,7.72,7.12,-8.74
200001,2000,0.41,-4.74,4.95,-0.29
200002,2000,0.43,2.45,21.7,-9.93
200003,2000,0.47,5.2,-16.86,7.38
200004,2000,0.46,-6.4,-7.73,8.61
200005,2000,0.5,-4.42,-5.11,2.56
200006,2000,0.4,4.64,13.85,-9.86
200007,2000,0.48,-2.51,-2.76,8.06
200008,2000,0.5,7.03,-1.15,-0.66
200009,2000,0.51,-5.45,-1.32,6.13
200010,2000,0.56,-2.76,-3.8,5.64
200011,2000,0.51,-10.72,-2.77,11.26
200012,2000,0.5,1.19,0.96,7.37
200101,2001,0.54,3.13,6.54,-4.86
200102,2001,0.38,-10.05,-0.72,12.87
200103,2001,0.42,-7.26,0.34,6.46
200104,2001,0.39,7.94,0.54,-4.72
200105,2001,0.32,0.72,2.59,3.18
200106,2001,0.28,-1.94,6.03,-1.03
200107,2001,0.3,-2.13,-4.35,5.57
200108,2001,0.31,-6.46,2.5,2.51
200109,2001,0.28,-9.25,-6.12,1.6
200110,2001,0.22,2.46,7.63,-8.1
200111,2001,0.17,7.54,-0.41,2.01
200112,2001,0.15,1.61,4.57,1.1
200201,2002,0.14,-1.44,1.19,3.33
200202,2002,0.13,-2.29,-1.1,2.5
200203,2002,0.13,4.24,4.23,1.1
200204,2002,0.15,-5.2,5.94,3.92
200205,2002,0.14,-1.38,-3.21,1.68
200206,2002,0.13,-7.21,4.27,0.12
200207,2002,0.15,-8.18,-5.3,-3.44
200208,2002,0.14,0.5,-2.44,2.52
200209,2002,0.14,-10.35,2.57,1.32
200210,2002,0.14,7.84,-2.91,-5.45
200211,2002,0.12,5.96,2.84,-1.12
200212,2002,0.11,-5.76,0.01,2.23
200301,2003,0.1,-2.57,1.39,-0.93
200302,2003,0.09,-1.88,-0.34,-1.45
200303,2003,0.1,1.09,0.89,-2.08
200304,2003,0.1,8.22,0.56,1.03
200305,2003,0.09,6.05,4.69,-0.29
200306,2003,0.1,1.42,1.67,0.68
200307,2003,0.07,2.35,5.24,-1.13
200308,2003,0.07,2.34,2.6,2.03
200309,2003,0.08,-1.24,0.8,0.01
200310,2003,0.07,6.08,2.68,1.77
200311,2003,0.07,1.35,2.02,1.85
200312,2003,0.08,4.29,-3,2.41
200401,2004,0.07,2.15,2.8,1.97
200402,2004,0.06,1.4,-1.43,0.5
200403,2004,0.09,-1.32,1.75,0.22
200404,2004,0.08,-1.83,-2.06,-2.62
200405,2004,0.06,1.17,-0.21,-0.39
200406,2004,0.08,1.86,2.26,1.39
200407,2004,0.1,-4.06,-3.81,4.12
200408,2004,0.11,0.08,-1.62,1.02
200409,2004,0.11,1.6,3.04,-0.25
200410,2004,0.11,1.43,0.31,-0.62
200411,2004,0.15,4.54,3.91,1.8
200412,2004,0.16,3.43,0.12,-0.07
200501,2005,0.16,-2.76,-1.51,1.96
200502,2005,0.16,1.89,-0.51,1.64
200503,2005,0.21,-1.97,-1.38,1.59
200504,2005,0.21,-2.61,-3.98,-0.35
200505,2005,0.24,3.65,2.88,-0.81
200506,2005,0.23,0.57,2.62,2.63
200507,2005,0.24,3.92,2.93,-0.51
200508,2005,0.3,-1.22,-0.92,1.27
200509,2005,0.29,0.49,-0.58,0.76
200510,2005,0.27,-2.02,-1.21,0.23
200511,2005,0.31,3.61,0.91,-1.19
200512,2005,0.32,-0.25,-0.45,0.44
200601,2006,0.35,3.04,5.41,1.12
200602,2006,0.34,-0.3,-0.37,-0.25
200603,2006,0.37,1.46,3.55,0.6
200604,2006,0.36,0.73,-1.34,2.6
200605,2006,0.43,-3.57,-3.04,2.55
200606,2006,0.4,-0.35,-0.35,0.88
200607,2006,0.4,-0.78,-4.07,2.94
200608,2006,0.42,2.03,0.9,-1.71
200609,2006,0.41,1.84,-1.37,0.05
200610,2006,0.41,3.23,1.72,-0.04
200611,2006,0.42,1.71,0.86,0.07
200612,2006,0.4,0.87,-1.1,3.15
200701,2007,0.44,1.4,0.11,-0.11
200702,2007,0.38,-1.96,1.32,-0.09
200703,2007,0.43,0.68,-0.05,-0.22
200704,2007,0.44,3.49,-2.07,-1.15
200705,2007,0.41,3.24,0.02,-0.04
200706,2007,0.4,-1.96,0.78,-1.12
200707,2007,0.4,-3.73,-2.51,-3.33
200708,2007,0.42,0.92,-0.13,-2.24
200709,2007,0.32,3.22,-2.29,-1.86
200710,2007,0.32,1.8,0.22,-2.6
200711,2007,0.34,-4.83,-2.62,-1.18
200712,2007,0.27,-0.87,0.2,-0.51
200801,2008,0.21,-6.36,-0.9,3.65
200802,2008,0.13,-3.09,-0.24,-0.94
200803,2008,0.17,-0.93,0.95,-0.14
200804,2008,0.18,4.6,-1.64,-0.95
200805,2008,0.18,1.86,3.22,-1.38
200806,2008,0.17,-8.44,1.28,-2.42
200807,2008,0.15,-0.77,2.45,5.88
200808,2008,0.13,1.53,3.61,1.52
200809,2008,0.15,-9.24,-1.16,6.33
200810,2008,0.08,-17.23,-2.32,-2.89
200811,2008,0.03,-7.86,-2.96,-6.02
200812,2008,0,1.74,3.61,-0.25
200901,2009,0,-8.12,0.08,-11.18
200902,2009,0.01,-10.1,0.22,-7.27
200903,2009,0.02,8.95,-0.08,3.56
200904,2009,0.01,10.19,4.77,5.53
200905,2009,0,5.21,-2.34,-0.23
200906,2009,0.01,0.43,2.62,-2.72
200907,2009,0.01,7.72,2.07,5.28
200908,2009,0.01,3.33,-0.9,7.75
200909,2009,0.01,4.08,2.46,0.93
200910,2009,0,-2.59,-4.23,-4.18
200911,2009,0,5.56,-2.5,-0.17
200912,2009,0.01,2.75,6.1,0
201001,2010,0,-3.36,0.38,0.3
201002,2010,0,3.4,1.21,3.16
201003,2010,0.01,6.31,1.43,2.11
201004,2010,0.01,2,4.97,2.81
201005,2010,0.01,-7.89,0.05,-2.38
201006,2010,0.01,-5.56,-1.97,-4.5
201007,2010,0.01,6.93,0.17,-0.26
201008,2010,0.01,-4.77,-3,-1.95
201009,2010,0.01,9.54,3.92,-3.13
201010,2010,0.01,3.88,1.13,-2.6
201011,2010,0.01,0.6,3.7,-0.9
201012,2010,0.01,6.82,0.69,3.82
201101,2011,0.01,1.99,-2.47,0.82
201102,2011,0.01,3.49,1.53,1.1
201103,2011,0.01,0.45,2.6,-1.58
201104,2011,0,2.9,-0.34,-2.52
201105,2011,0,-1.27,-0.7,-2.08
201106,2011,0,-1.75,-0.16,-0.32
201107,2011,0,-2.36,-1.35,-1.21
201108,2011,0.01,-5.99,-3.05,-2.48
201109,2011,0,-7.59,-3.53,-1.41
201110,2011,0,11.35,3.42,-0.18
201111,2011,0,-0.28,-0.17,-0.34
201112,2011,0,0.74,-0.7,1.77
201201,2012,0,5.05,2.15,-1.13
201202,2012,0,4.42,-1.75,0.08
201203,2012,0,3.11,-0.62,0.92
201204,2012,0,-0.85,-0.52,-0.48
201205,2012,0.01,-6.19,0,-0.59
201206,2012,0,3.89,0.76,0.44
201207,2012,0,0.79,-2.61,-0.27
201208,2012,0.01,2.55,0.4,1.31
201209,2012,0.01,2.73,0.49,1.53
201210,2012,0.01,-1.76,-1.15,3.79
201211,2012,0.01,0.78,0.59,-0.97
201212,2012,0.01,1.18,1.48,3.58
201301,2013,0,5.57,0.39,0.95
201302,2013,0,1.29,-0.45,0.03
201303,2013,0,4.03,0.81,-0.3
201304,2013,0,1.55,-2.42,0.62
201305,2013,0,2.8,1.66,2.6
201306,2013,0,-1.2,1.17,-0.17
201307,2013,0,5.65,1.86,0.56
201308,2013,0,-2.71,0.31,-2.78
201309,2013,0,3.77,2.92,-1.19
201310,2013,0,4.18,-1.51,1.14
201311,2013,0,3.12,1.22,0.24
201312,2013,0,2.81,-0.5,-0.31
201401,2014,0,-3.32,0.85,-2.09
201402,2014,0,4.65,0.34,-0.4
201403,2014,0,0.43,-1.89,5.09
201404,2014,0,-0.19,-4.24,1.14
201405,2014,0,2.06,-1.86,-0.27
201406,2014,0,2.61,3.08,-0.74
201407,2014,0,-2.04,-4.24,0.01
201408,2014,0,4.24,0.36,-0.59
201409,2014,0,-1.97,-3.83,-1.23
201410,2014,0,2.52,4.21,-1.7
201411,2014,0,2.55,-2.09,-3
201412,2014,0,-0.06,2.54,2.07
201501,2015,0,-3.11,-0.56,-3.48
201502,2015,0,6.13,0.48,-1.79
201503,2015,0,-1.12,3.03,-0.45
201504,2015,0,0.59,-2.98,1.85
201505,2015,0,1.36,0.87,-1.37
201506,2015,0,-1.53,2.83,-0.79
201507,2015,0,1.54,-4.15,-4.12
201508,2015,0,-6.04,0.49,2.66
201509,2015,0,-3.08,-2.64,0.53
201510,2015,0,7.75,-1.97,-0.07
201511,2015,0,0.56,3.64,-0.5
201512,2015,0.01,-2.17,-2.83,-2.6
201601,2016,0.01,-5.77,-3.35,2.07
201602,2016,0.02,-0.07,0.79,-0.49
201603,2016,0.02,6.96,0.87,1.16
201604,2016,0.01,0.92,0.68,3.28
201605,2016,0.01,1.78,-0.27,-1.81
201606,2016,0.02,-0.05,0.65,-1.47
201607,2016,0.02,3.95,2.64,-1.11
201608,2016,0.02,0.5,1.16,3.34
201609,2016,0.02,0.25,2.02,-1.49
201610,2016,0.02,-2.02,-4.39,4.16
201611,2016,0.01,4.86,5.47,8.29
201612,2016,0.03,1.82,0.1,3.58
201701,2017,0.04,1.94,-1.04,-2.78
201702,2017,0.04,3.57,-2.02,-1.79
201703,2017,0.03,0.17,1.2,-3.17
201704,2017,0.05,1.09,0.71,-1.87
201705,2017,0.06,1.06,-2.54,-3.78
201706,2017,0.06,0.78,2.16,1.35
201707,2017,0.07,1.87,-1.41,-0.28
201708,2017,0.09,0.16,-1.67,-2.24
201709,2017,0.09,2.51,4.55,3.03
201710,2017,0.09,2.25,-1.94,-0.05
201711,2017,0.08,3.12,-0.66,-0.05
201712,2017,0.09,1.06,-1.28,0.14
201801,2018,0.11,5.58,-3.04,-1.38
201802,2018,0.11,-3.65,0.25,-1.19
201803,2018,0.12,-2.35,3.95,-0.12
201804,2018,0.14,0.29,1.12,0.54
201805,2018,0.14,2.65,5.23,-3.16
201806,2018,0.14,0.48,1.18,-2.38
201807,2018,0.16,3.19,-2.18,0.4
201808,2018,0.16,3.44,1.15,-4.08
201809,2018,0.15,0.06,-2.37,-1.3
201810,2018,0.19,-7.68,-4.76,3.44
201811,2018,0.18,1.69,-0.79,0.25
201812,2018,0.19,-9.55,-2.63,-1.47
201901,2019,0.21,8.41,3.01,-0.62
201902,2019,0.18,3.4,2.06,-2.84
201903,2019,0.19,1.1,-3.13,-4.07
201904,2019,0.21,3.96,-1.68,1.93
201905,2019,0.21,-6.94,-1.2,-2.39
201906,2019,0.18,6.93,0.33,-1.08
201907,2019,0.19,1.19,-2.07,0.14
201908,2019,0.16,-2.58,-2.41,-4.99
201909,2019,0.18,1.44,-0.89,6.73
