Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,85.800003,85.800003,85.800003,85.800003,77.147224,0
2015-09-02,85.800003,85.800003,85.800003,85.800003,77.147224,0
2015-09-03,90.250000,90.250000,90.250000,90.250000,81.148460,700
2015-09-04,90.250000,90.250000,90.250000,90.250000,81.148460,0
2015-09-08,90.250000,90.250000,90.250000,90.250000,81.148460,0
2015-09-09,90.250000,90.250000,90.250000,90.250000,81.148460,0
2015-09-10,92.349998,92.349998,92.349998,92.349998,83.036674,2200
2015-09-11,92.349998,92.349998,92.349998,92.349998,83.036674,0
2015-09-14,92.349998,92.349998,92.349998,92.349998,83.036674,0
2015-09-15,92.349998,92.349998,92.349998,92.349998,83.036674,0
2015-09-16,92.349998,92.349998,92.349998,92.349998,83.036674,0
2015-09-17,92.349998,92.349998,92.349998,92.349998,83.036674,0
2015-09-18,92.349998,92.349998,92.349998,92.349998,83.036674,0
2015-09-21,97.900002,97.900002,97.099998,97.540001,87.703285,114100
2015-09-22,97.540001,97.540001,97.540001,97.540001,87.703285,0
2015-09-23,100.599998,100.599998,100.599998,100.599998,90.454689,10400
2015-09-24,98.599998,98.690002,98.599998,98.690002,88.737289,10900
2015-09-25,96.690002,96.690002,96.690002,96.690002,86.938988,14000
2015-09-28,97.269997,97.269997,97.269997,97.269997,87.460495,7600
2015-09-29,100.709999,100.709999,98.889999,98.889999,88.917130,8500
2015-09-30,98.889999,98.889999,98.889999,98.889999,88.917130,0
2015-10-01,98.750000,98.750000,98.750000,98.750000,88.791237,11500
2015-10-02,98.750000,98.750000,98.750000,98.750000,88.791237,0
2015-10-05,98.949997,98.949997,98.949997,98.949997,88.971069,9100
2015-10-06,98.190002,98.400002,97.849998,98.400002,88.476555,2200
2015-10-07,96.190002,98.330002,96.190002,98.330002,88.413612,30200
2015-10-08,98.330002,98.330002,98.330002,98.330002,88.413612,0
2015-10-09,96.419998,96.419998,96.419998,96.419998,86.696220,1800
2015-10-13,96.419998,96.419998,96.419998,96.419998,86.696220,0
2015-10-14,98.370003,98.370003,98.370003,98.370003,88.449570,1100
2015-10-15,98.349998,98.349998,98.349998,98.349998,88.431564,3600
2015-10-16,98.349998,98.349998,98.349998,98.349998,88.431564,0
2015-10-19,102.250000,102.250000,102.250000,102.250000,91.938263,6100
2015-10-20,101.800003,101.800003,101.220001,101.220001,91.012138,13700
2015-10-21,101.349998,101.349998,101.349998,101.349998,91.129044,5700
2015-10-22,101.349998,101.349998,101.349998,101.349998,91.129044,0
2015-10-23,101.349998,101.349998,101.349998,101.349998,91.129044,0
2015-10-26,109.800003,110.599998,109.800003,110.599998,99.446198,3900
2015-10-27,110.599998,110.599998,110.599998,110.599998,99.446198,0
2015-10-28,108.949997,108.949997,108.949997,108.949997,97.962593,11300
2015-10-29,109.029999,109.029999,109.029999,109.029999,98.034508,11400
